2026-09-18 16:53:12.175 INFO  [] [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.1.3.Final
2026-09-18 16:53:12.193 INFO  [] [restartedMain] c.h.s.SecureAuthResilienceApplication - Starting SecureAuthResilienceApplication using Java 25.0.4 with PID 2874 (/Users/ACHINTYAA/Java_Basics/Team-Nova/Backend/target/classes started by ACHINTYAA in /Users/ACHINTYAA/Java_Basics/Team-Nova)
2026-09-18 16:53:12.194 INFO  [] [restartedMain] c.h.s.SecureAuthResilienceApplication - No active profile set, falling back to 1 default profile: "default"
2026-09-18 16:53:12.209 INFO  [] [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-09-18 16:53:12.209 INFO  [] [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-09-18 16:53:12.698 INFO  [] [restartedMain] o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-09-18 16:53:12.703 INFO  [] [restartedMain] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-09-18 16:53:12.704 INFO  [] [restartedMain] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-09-18 16:53:12.704 INFO  [] [restartedMain] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.24]
2026-09-18 16:53:12.713 INFO  [] [restartedMain] o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 503 ms
2026-09-18 16:53:12.849 INFO  [] [restartedMain] c.h.secureauth.service.AuthService - Default admin user initialized
2026-09-18 16:53:12.990 WARN  [] [restartedMain] o.s.b.s.a.UserDetailsServiceAutoConfiguration - 

Using generated security password: 0610922f-dab2-4732-95da-ca7ec6cdbb49

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-09-18 16:53:12.993 INFO  [] [restartedMain] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2026-09-18 16:53:13.285 INFO  [] [restartedMain] o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2026-09-18 16:53:13.301 INFO  [] [restartedMain] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-09-18 16:53:13.307 INFO  [] [restartedMain] o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-09-18 16:53:13.310 INFO  [] [restartedMain] c.h.s.SecureAuthResilienceApplication - Started SecureAuthResilienceApplication in 1.297 seconds (process running for 1.486)
2026-09-18 16:53:53.824 INFO  [] [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-09-18 16:53:53.825 INFO  [] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-09-18 16:53:53.826 INFO  [] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-09-18 16:53:53.841 INFO  [d4d7da93-b670-4bd8-b6fb-f3ca3579d66b] [http-nio-8080-exec-1] c.h.s.filter.RequestLoggingFilter - Incoming request: POST /signup
2026-09-18 16:53:53.890 INFO  [d4d7da93-b670-4bd8-b6fb-f3ca3579d66b] [http-nio-8080-exec-1] c.h.s.controller.AuthController - Signup attempt for user: naanu
2026-09-18 16:53:53.890 INFO  [d4d7da93-b670-4bd8-b6fb-f3ca3579d66b] [http-nio-8080-exec-1] c.h.secureauth.service.AuthService - New user registered: naanu
2026-09-18 16:53:53.890 INFO  [d4d7da93-b670-4bd8-b6fb-f3ca3579d66b] [http-nio-8080-exec-1] c.h.s.controller.AuthController - User registered successfully: naanu
2026-09-18 16:53:53.899 INFO  [d4d7da93-b670-4bd8-b6fb-f3ca3579d66b] [http-nio-8080-exec-1] c.h.s.filter.RequestLoggingFilter - Completed request: POST /signup | status=200 | duration=58ms
2026-09-18 16:54:01.623 INFO  [2efd75ba-57df-420d-b82b-ed18d32d8f77] [http-nio-8080-exec-2] c.h.s.filter.RequestLoggingFilter - Incoming request: POST /login
2026-09-18 16:54:01.625 INFO  [2efd75ba-57df-420d-b82b-ed18d32d8f77] [http-nio-8080-exec-2] c.h.s.controller.AuthController - Login attempt for user: naanu
